# num names ratio wav_num wav_denom line_strength
1 Lya/Ha 0.18523594814972041 1215.67 6562.819 10.0
2 CIV-1549/Ha 0.23602662209638875 1549.0 6562.819 10.0
3 Lya/OIII-5007 0.2428017015912023 1215.67 5006.843 10.0
4 Lya/OIII-4959 0.2451485820173018 1215.67 4958.911 10.0
5 HeII/Ha 0.2499566116328974 1640.42 6562.819 10.0
6 Lya/Hb 0.2500692711237844 1215.67 4861.333 10.0
7 CIV-1549/OIII-5007 0.3093765872027543 1549.0 5006.843 10.0
8 CIV-1549/OIII-4959 0.3123669692801504 1549.0 4958.911 1.0
9 CIV-1549/Hb 0.3186368841632532 1549.0 4861.333 1.0
10 Lya/OII 0.32626397196803464 1215.67 3726.032 10.0
11 HeII/OIII-5007 0.32763559792068575 1640.42 5006.843 10.0
12 HeII/OIII-4959 0.33080246852585177 1640.42 4958.911 1.0
13 HeII/Hb 0.337442425770874 1640.42 4861.333 1.0
14 CIV-1549/OII 0.41572375116477794 1549.0 3726.032 10.0
15 HeII/OII 0.44025923556212077 1640.42 3726.032 10.0
16 OII/Ha 0.5677487067676253 3726.032 6562.819 10.0
17 Hb/Ha 0.7407385454329914 4861.333 6562.819 10.0
18 Lya/HeII 0.741072408285683 1215.67 1640.42 10.0
19 OII/OIII-5007 0.7441879044339917 3726.032 5006.843 10.0
20 OII/OIII-4959 0.7513810996002953 3726.032 4958.911 10.0
21 OIII-4959/Ha 0.7556068512631537 4958.911 6562.819 10.0
22 OIII-5007/Ha 0.7629104200496768 5006.843 6562.819 10.0
23 OII/Hb 0.766463025676291 3726.032 4861.333 10.0
24 Lya/CIV-1549 0.7848095545513235 1215.67 1549.0 10.0
25 CIV-1549/HeII 0.9442703697833481 1549.0 1640.42 0.1
26 Hb/OIII-5007 0.9709377745617348 4861.333 5006.843 10.0
27 Hb/OIII-4959 0.9803226958499557 4861.333 4958.911 1.0
28 OIII-4959/OIII-5007 0.9904267020156214 4958.911 5006.843 10.0
29 OIII-4959/OIII-4959 1.0 4958.911 4958.911 1.0
30 OIII-5007/OIII-5007 1.0 5006.843 5006.843 10.0
31 Hb/Hb 1.0 4861.333 4861.333 1.0
32 Lya/Lya 1.0 1215.67 1215.67 10.0
33 Ha/Ha 1.0 6562.819 6562.819 10.0
34 OII/OII 1.0 3726.032 3726.032 10.0
35 CIV-1549/CIV-1549 1.0 1549.0 1549.0 0.1
36 HeII/HeII 1.0 1640.42 1640.42 0.1
37 OIII-5007/OIII-4959 1.0096658318731673 5006.843 4958.911 10.0
38 OIII-4959/Hb 1.0200722723582196 4958.911 4861.333 1.0
39 OIII-5007/Hb 1.0299321194413138 5006.843 4861.333 10.0
40 HeII/CIV-1549 1.0590187217559717 1640.42 1549.0 0.1
41 CIV-1549/Lya 1.274194477119613 1549.0 1215.67 10.0
42 Hb/OII 1.3046943772892985 4861.333 3726.032 10.0
43 Ha/OIII-5007 1.3107698803417644 6562.819 5006.843 10.0
44 Ha/OIII-4959 1.3234395616295596 6562.819 4958.911 10.0
45 OIII-4959/OII 1.330882558174487 4958.911 3726.032 10.0
46 OIII-5007/OII 1.3437466452247322 5006.843 3726.032 10.0
47 HeII/Lya 1.3493958064277312 1640.42 1215.67 10.0
48 Ha/Hb 1.3500040009602305 6562.819 4861.333 10.0
49 Ha/OII 1.7613426293708696 6562.819 3726.032 10.0
50 OII/HeII 2.271389034515551 3726.032 1640.42 10.0
51 OII/CIV-1549 2.405443511943189 3726.032 1549.0 10.0
52 Hb/HeII 2.9634685019690075 4861.333 1640.42 1.0
53 OIII-4959/HeII 3.0229520488655344 4958.911 1640.42 1.0
54 OIII-5007/HeII 3.052171395130515 5006.843 1640.42 10.0
55 OII/Lya 3.0650028379412175 3726.032 1215.67 10.0
56 Hb/CIV-1549 3.1383686249193024 4861.333 1549.0 1.0
57 OIII-4959/CIV-1549 3.2013628147191735 4958.911 1549.0 1.0
58 OIII-5007/CIV-1549 3.232306649451259 5006.843 1549.0 10.0
59 Hb/Lya 3.9988919690376497 4861.333 1215.67 10.0
60 Ha/HeII 4.000694334377782 6562.819 1640.42 10.0
61 OIII-4959/Lya 4.07915881777127 4958.911 1215.67 10.0
62 OIII-5007/Lya 4.118587281087795 5006.843 1215.67 10.0
63 Ha/CIV-1549 4.236810200129116 6562.819 1549.0 10.0
64 Ha/Lya 5.398520157608561 6562.819 1215.67 10.0
